,bathroom,bedroom,buildingarea,car,date,distance,landsize,lattitude,longtitude,price,propertycount,rooms,type,yearbuilt
0,1.0,2.0,79.0,0.0,2016-02-04,2.5,156.0,-37.8079,144.9934,1035000.0,4019.0,2,2,1900.0
1,2.0,3.0,150.0,0.0,2017-03-04,2.5,134.0,-37.8093,144.9944,1465000.0,4019.0,3,2,1900.0
2,1.0,3.0,142.0,2.0,2016-06-04,2.5,120.0,-37.8072,144.9941,1600000.0,4019.0,4,2,2014.0
3,2.0,4.0,210.0,0.0,2016-05-07,2.5,245.0,-37.8024,144.9993,1876000.0,4019.0,3,2,1910.0
4,1.0,2.0,107.0,2.0,2016-10-08,2.5,256.0,-37.806,144.9954,1636000.0,4019.0,2,2,1890.0
5,1.0,3.0,75.0,2.0,2016-10-08,2.5,220.0,-37.801,144.9989,1097000.0,4019.0,2,2,1900.0
6,2.0,3.0,190.0,2.0,2016-11-12,2.5,214.0,-37.8085,144.9964,1350000.0,4019.0,3,2,2005.0
7,2.0,2.0,94.0,1.0,2016-11-12,2.5,0.0,-37.8078,144.9965,750000.0,4019.0,2,3,2009.0
8,1.0,2.0,97.0,2.0,2016-10-15,2.5,238.0,-37.809,144.9976,1310000.0,4019.0,2,2,1890.0
9,2.0,3.0,110.0,1.0,2016-07-16,2.5,113.0,-37.8056,144.993,1200000.0,4019.0,3,2,1880.0
10,1.0,2.0,105.0,1.0,2016-07-16,2.5,138.0,-37.8021,144.9965,1176500.0,4019.0,3,2,1890.0
11,1.0,2.0,73.0,1.0,2016-09-17,2.5,150.0,-37.8011,145.0004,890000.0,4019.0,2,2,1985.0
12,2.0,4.0,135.0,2.0,2017-03-18,2.5,780.0,-37.8073,144.9952,1330000.0,4019.0,4,2,1900.0
13,1.0,2.0,60.0,1.0,2016-06-18,2.5,0.0,-37.8015,144.9972,500000.0,4019.0,2,3,1970.0
14,2.0,2.0,135.0,1.0,2016-06-18,2.5,124.0,-37.8079,144.9977,1100000.0,4019.0,2,2,2013.0
15,1.0,2.0,85.0,0.0,2016-11-19,2.5,147.0,-37.808,144.994,1315000.0,4019.0,2,2,1900.0
16,3.0,3.0,174.0,1.0,2016-08-22,2.5,166.0,-37.8017,145.0001,1447500.0,4019.0,3,2,2012.0
17,2.0,2.0,128.0,2.0,2016-08-22,2.5,98.0,-37.8005,144.9952,1135000.0,4019.0,2,2,1920.0
18,1.0,3.0,124.0,1.0,2017-02-25,2.5,168.0,-37.8007,144.9958,1290000.0,4019.0,3,2,1950.0
19,1.0,1.0,50.0,1.0,2016-07-26,2.5,0.0,-37.8055,144.9961,470000.0,4019.0,1,3,2013.0
20,1.0,2.0,91.0,0.0,2016-11-27,2.5,162.0,-37.8016,144.9956,1180000.0,4019.0,2,2,1900.0
21,2.0,3.0,128.0,1.0,2016-11-27,2.5,120.0,-37.8022,144.9954,1195000.0,4019.0,3,2,1998.0
22,1.0,2.0,82.0,0.0,2016-05-28,2.5,182.0,-37.8021,144.9976,1012500.0,4019.0,2,2,1900.0
23,1.0,2.0,81.0,1.0,2016-07-30,2.5,172.0,-37.8086,144.9946,1030000.0,4019.0,2,2,1930.0
24,2.0,3.0,225.0,1.0,2016-09-03,13.5,303.0,-37.718,144.878,840000.0,3464.0,3,4,2016.0
25,2.0,3.0,145.0,1.0,2016-12-03,13.5,0.0,-37.7203,144.8755,730000.0,3464.0,3,2,1965.0
26,2.0,3.0,145.0,1.0,2017-03-04,13.5,0.0,-37.7203,144.8755,770000.0,3464.0,3,2,1965.0
27,1.0,2.0,84.0,1.0,2017-03-04,13.5,272.0,-37.7294,144.888,603000.0,3464.0,2,2,1950.0
28,2.0,3.0,134.0,2.0,2017-03-04,13.5,239.0,-37.7218,144.8837,700000.0,3464.0,3,4,2009.0
29,1.0,2.0,116.0,1.0,2017-03-04,13.5,290.0,-37.7273,144.8744,600000.0,3464.0,3,2,1980.0
30,1.0,2.0,86.0,1.0,2017-03-04,13.5,168.0,-37.7215,144.8864,500000.0,3464.0,2,3,2011.0
31,3.0,6.0,186.0,2.0,2016-05-07,13.5,976.0,-37.7239,144.8735,725000.0,3464.0,6,2,1980.0
32,1.0,2.0,90.0,1.0,2016-05-07,13.5,110.0,-37.7216,144.871,450000.0,3464.0,2,4,2015.0
33,1.0,2.0,73.0,1.0,2016-11-07,13.5,141.0,-37.7298,144.8883,515000.0,3464.0,2,3,2013.0
34,1.0,2.0,94.0,1.0,2016-09-10,13.5,120.0,-37.7234,144.8792,530000.0,3464.0,2,3,2012.0
35,1.0,3.0,133.0,6.0,2016-09-10,13.5,1063.0,-37.7249,144.8728,895000.0,3464.0,3,2,1975.0
36,1.0,3.0,105.0,1.0,2016-12-10,13.5,0.0,-37.7217,144.8783,805000.0,3464.0,3,2,1950.0
37,1.0,3.0,130.0,1.0,2017-02-11,13.5,265.0,-37.7302,144.8855,752000.0,3464.0,3,3,1993.0
38,2.0,3.0,133.0,2.0,2016-10-15,13.5,165.0,-37.727,144.887,700000.0,3464.0,3,4,2009.0
39,1.0,3.0,113.0,2.0,2016-04-16,13.5,971.0,-37.7186,144.876,830000.0,3464.0,3,2,1960.0
40,1.0,2.0,100.0,1.0,2016-07-16,13.5,612.0,-37.7187,144.8765,675000.0,3464.0,2,2,1975.0
41,2.0,3.0,174.0,5.0,2016-07-16,13.5,612.0,-37.7173,144.8796,1042000.0,3464.0,3,2,1950.0
42,3.0,5.0,309.0,4.0,2016-09-17,13.5,531.0,-37.7263,144.8679,773000.0,3464.0,4,2,1980.0
43,3.0,3.0,192.0,2.0,2017-03-18,13.5,555.0,-37.7285,144.8694,810000.0,3464.0,3,2,1980.0
44,2.0,3.0,126.0,2.0,2017-03-18,13.5,422.0,-37.7164,144.8792,715000.0,3464.0,3,2,1995.0
45,2.0,2.0,101.0,1.0,2016-06-18,13.5,161.0,-37.7231,144.8802,540000.0,3464.0,3,4,2010.0
46,2.0,3.0,102.0,1.0,2016-11-19,13.5,293.0,-37.72,144.8776,825000.0,3464.0,3,4,1960.0
47,1.0,3.0,113.0,1.0,2016-05-22,13.5,579.0,-37.7226,144.8733,685000.0,3464.0,3,2,1975.0
48,2.0,4.0,146.0,3.0,2016-11-27,13.5,628.0,-37.7256,144.8739,900000.0,3464.0,4,2,1975.0
49,1.0,2.0,82.0,0.0,2016-09-03,3.3,120.0,-37.8459,144.9555,1275000.0,3280.0,2,2,1900.0
50,2.0,3.0,198.0,0.0,2017-03-04,3.3,211.0,-37.8481,144.9499,2850000.0,3280.0,3,2,1890.0
51,2.0,3.0,133.0,0.0,2017-03-04,3.3,128.0,-37.8452,144.9488,1850000.0,3280.0,3,2,1890.0
52,1.0,2.0,81.0,0.0,2017-03-04,3.3,130.0,-37.8431,144.9565,1436000.0,3280.0,2,2,1900.0
53,2.0,4.0,180.0,1.0,2016-05-07,3.3,153.0,-37.8447,144.9523,2300000.0,3280.0,4,2,1880.0
54,2.0,3.0,159.0,1.0,2016-11-07,3.3,132.0,-37.8415,144.952,1800000.0,3280.0,3,2,1996.0
55,1.0,2.0,107.0,1.0,2016-09-10,3.3,199.0,-37.8422,144.9554,2120000.0,3280.0,2,2,1900.0
56,2.0,3.0,122.0,1.0,2016-09-10,3.3,90.0,-37.8421,144.9571,1800000.0,3280.0,3,2,1900.0
57,2.0,3.0,181.0,1.0,2016-12-10,3.3,177.0,-37.8415,144.9585,2615000.0,3280.0,3,2,1880.0
